HYBAS_ID,Water,Year,Extent
2070053250,Seasonal,1987,0.0333
2070053250,Seasonal,1988,0.0414
2070053250,Seasonal,1989,0.0288
2070053250,Seasonal,1990,0.0486
2070053250,Seasonal,1991,0.0
2070053250,Seasonal,1992,0.0
2070053250,Seasonal,1993,0.0
2070053250,Seasonal,1994,0.0
2070053250,Seasonal,1995,0.0
2070053250,Seasonal,1996,0.0
2070053250,Seasonal,1997,0.0
2070053250,Seasonal,1998,0.0099
2070053250,Seasonal,1999,0.0
2070053250,Seasonal,2000,0.0216
2070053250,Seasonal,2001,0.0162
2070053250,Seasonal,2002,0.0
2070053250,Seasonal,2003,0.0315
2070053250,Seasonal,2004,0.0117
2070053250,Seasonal,2005,0.0315
2070053250,Seasonal,2006,0.0189
2070053250,Seasonal,2007,0.0117
2070053250,Seasonal,2008,0.0018
2070053250,Seasonal,2009,0.0018
2070053250,Seasonal,2010,0.0027
2070053250,Seasonal,2011,0.0189
2070053250,Seasonal,2012,0.0045
2070053250,Seasonal,2013,0.0198
2070053250,Seasonal,2014,0.0252
2070053250,Seasonal,2015,0.0324
2070053250,Seasonal,2016,0.063
2070053250,Seasonal,2017,0.0432
2070053250,Seasonal,2018,0.0432
2070053260,Seasonal,1984,0.0126
2070053260,Seasonal,1985,0.0459
2070053260,Seasonal,1986,0.0036
2070053260,Seasonal,1987,0.0549
2070053260,Seasonal,1988,0.0459
2070053260,Seasonal,1989,0.0369
2070053260,Seasonal,1990,0.0459
2070053260,Seasonal,1991,0.0
2070053260,Seasonal,1992,0.0
2070053260,Seasonal,1993,0.0
2070053260,Seasonal,1994,0.0108
2070053260,Seasonal,1995,0.0
2070053260,Seasonal,1996,0.0
2070053260,Seasonal,1997,0.0
2070053260,Seasonal,1998,0.0027
2070053260,Seasonal,1999,0.0018
2070053260,Seasonal,2000,0.0441
2070053260,Seasonal,2001,0.0189
2070053260,Seasonal,2002,0.018
2070053260,Seasonal,2003,0.0351
2070053260,Seasonal,2004,0.0135
2070053260,Seasonal,2005,0.0333
2070053260,Seasonal,2006,0.0198
2070053260,Seasonal,2007,0.0108
2070053260,Seasonal,2008,0.0054
2070053260,Seasonal,2009,0.0081
2070053260,Seasonal,2010,0.0126
2070053260,Seasonal,2011,0.0243
2070053260,Seasonal,2012,0.0126
2070053260,Seasonal,2013,0.0459
2070053260,Seasonal,2014,0.0477
2070053260,Seasonal,2015,0.0297
2070053260,Seasonal,2016,0.0666
2070053260,Seasonal,2017,0.0585
2070053260,Seasonal,2018,0.0594
2070053270,Seasonal,1984,0.0603
2070053270,Seasonal,1985,0.1638
2070053270,Seasonal,1986,0.0684
2070053270,Seasonal,1987,0.2196
2070053270,Seasonal,1988,0.2664
2070053270,Seasonal,1989,0.3123
2070053270,Seasonal,1990,0.2223
2070053270,Seasonal,1991,0.0
2070053270,Seasonal,1992,0.0
2070053270,Seasonal,1993,0.0
2070053270,Seasonal,1994,0.0747
2070053270,Seasonal,1995,0.0
2070053270,Seasonal,1996,0.0
2070053270,Seasonal,1997,0.0
2070053270,Seasonal,1998,0.0495
2070053270,Seasonal,1999,0.0648
2070053270,Seasonal,2000,0.3537
2070053270,Seasonal,2001,0.2367
2070053270,Seasonal,2002,0.1512
2070053270,Seasonal,2003,0.4788
2070053270,Seasonal,2004,0.198
2070053270,Seasonal,2005,0.162
2070053270,Seasonal,2006,0.4059
2070053270,Seasonal,2007,0.2484
2070053270,Seasonal,2008,0.1188
2070053270,Seasonal,2009,0.6354
2070053270,Seasonal,2010,0.4329
2070053270,Seasonal,2011,1.2879
2070053270,Seasonal,2012,0.3258
